Without choosing a median pivot element (first one is used)

Insertion sort is called multiple times
CUTOFF running_time_avg
1   22.356641749999998
2   21.761385
3   21.95812325
4   22.25680875
5   21.65498375
6   21.074976
7   20.860873375
8   22.085507624999998
9   20.719133375
10  20.719551125
11  20.85539175
12  21.76129
13  19.93479125
14  19.836384
15  20.6081915
16  20.11774025
17  19.9332075
18  20.09709225
19  19.4108075
20  20.216669375
21  20.050523124999998
22  20.3529205
23  20.22734125
24  20.493925
25  20.4613385
26  20.334769125
27  19.836913875
28  19.49292925
29  20.397249
30  20.531441625
31  20.270038625
32  20.7882855
33  19.72197975
34  19.901082125
35

Insertion sort is called once at end
CUTOFF running_time_avg
1   23.02900825
2   21.960407875
3   22.369990125
4   21.508416625
5   20.9902755
6   19.996537
7   20.30290775
8   20.278286
9   20.60396925
10  20.680639875
11

19  20.615202625000002  20.05650825 20.1968315
